Loc Type,A,B,Source ID,AT Grp,FT Grp,AM_est,MD_est,PM_est,EV_est,EA_est,Daily_est,AT,FT,Daily_obs,AM_obs,MD_obs,PM_obs,EV_obs,EA_obs,AM_ratio,AM_diff,AM_pctdiff,AM_absdiff,AM_rmse,MD_ratio,MD_diff,MD_pctdiff,MD_absdiff,MD_rmse,PM_ratio,PM_diff,PM_pctdiff,PM_absdiff,PM_rmse,EV_ratio,EV_diff,EV_pctdiff,EV_absdiff,EV_rmse,EA_ratio,EA_diff,EA_pctdiff,EA_absdiff,EA_rmse,Daily_ratio,Daily_diff,Daily_pctdiff,Daily_absdiff,Daily_rmse,AB
101/280,40003,40029,120,Urb,Fwy/Ramp,579.21301,1668.27783,649.08081,866.98468,122.16998,3885.72631,3.0,5.0,2997.333333333328,852.666666666666,1034.83333333333,374.666666666666,445.833333333333,289.333333333333,0.6792959460516035,-273.4536566666659,-32.07040539483966,273.4536566666659,273.4536566666659,1.6121222386857839,633.4444966666699,61.21222386857838,633.4444966666699,633.4444966666699,1.7324220907473342,274.41414333333404,73.24220907473341,274.41414333333404,274.41414333333404,1.9446385345794408,421.15134666666705,94.4638534579441,421.15134666666705,421.15134666666705,0.42224647465437837,-167.16335333333296,-57.77535253456215,167.16335333333296,167.16335333333296,1.296394453959077,888.392976666672,29.639445395907703,888.392976666672,888.392976666672,40003 40029
101/280,52118,52120,121,Urb,Fwy/Ramp,3488.36182,7052.66895,3298.4375,4305.4668,1035.70032,19180.63539,3.0,5.0,4747.333333333322,969.333333333333,1628.83333333333,835.833333333333,1060.66666666666,252.666666666666,3.5987226478679517,2519.028486666667,259.8722647867952,2519.028486666667,2519.028486666667,4.329889870050147,5423.83561666667,332.9889870050147,5423.83561666667,5423.83561666667,3.9462861415752757,2462.604166666667,294.6286141575276,2462.604166666667,2462.604166666667,4.059208170961686,3244.8001333333405,305.92081709616855,3244.8001333333405,3244.8001333333405,4.099077783641172,783.0336533333339,309.9077783641171,783.0336533333339,783.0336533333339,4.040296739924178,14433.302056666678,304.02967399241777,14433.302056666678,14433.302056666678,52118 52120
101/280,52120,52121,122,Urb,Art,658.81409,1732.05432,1114.26208,1135.4624,115.48929,4756.08218,3.0,15.0,4171.666666666656,582.333333333333,1260.0,1039.16666666666,1184.83333333333,105.333333333333,1.1313350143102467,76.48075666666693,13.133501431024666,76.48075666666693,76.48075666666693,1.3746462857142856,472.05431999999996,37.46462857142857,472.05431999999996,472.05431999999996,1.0722650328789163,75.09541333334005,7.226503287891631,75.09541333334005,75.09541333334005,0.9583309044872722,-49.370933333330186,-4.16690955127278,49.370933333330186,49.370933333330186,1.0964173101265857,10.155956666666995,9.641731012658571,10.155956666666995,10.155956666666995,1.1400916132640861,584.4155133333443,14.00916132640861,584.4155133333443,584.4155133333443,52120 52121
101/280,52119,52233,123,Urb,Fwy/Ramp,4130.39746,9988.17969,4360.90186,6671.58887,1065.1167,26216.18458,3.0,5.0,20207.999999999978,3545.0,7662.83333333333,3605.66666666666,4185.16666666666,1209.33333333333,1.165133275035261,585.3974600000001,16.513327503526096,585.3974600000001,585.3974600000001,1.3034577754094445,2325.3463566666705,30.345777540944447,2325.3463566666705,2325.3463566666705,1.2094578515300012,755.2351933333398,20.945785153000124,755.2351933333398,755.2351933333398,1.5941035092190698,2486.42220333334,59.41035092190698,2486.42220333334,2486.42220333334,0.880746995589859,-144.21663333333004,-11.925300441014093,144.21663333333004,144.21663333333004,1.297317130839273,6008.184580000023,29.731713083927303,6008.184580000023,6008.184580000023,52119 52233
101/280,52123,52508,124,Urb,Fwy/Ramp,6862.30811,13310.88867,7882.11523,6207.9834,621.68542,34884.98083,3.0,1.0,51633.33333333321,9687.66666666666,18993.6666666666,10217.5,10056.8333333333,2677.66666666666,0.7083551020197506,-2825.3585566666607,-29.164489798024935,2825.3585566666607,2825.3585566666607,0.7008066901247809,-5682.7779966665985,-29.919330987521903,5682.7779966665985,5682.7779966665985,0.7714328583312944,-2335.3847699999997,-22.85671416687056,2335.3847699999997,2335.3847699999997,0.6172900747418857,-3848.8499333332993,-38.27099252581142,3848.8499333332993,3848.8499333332993,0.2321743134569905,-2055.98124666666,-76.78256865430095,2055.98124666666,2055.98124666666,0.6756290670755342,-16748.35250333321,-32.437093292446576,16748.35250333321,16748.35250333321,52123 52508
101/280,20658,20678,125,Urb,Fwy/Ramp,825.57837,1733.34924,843.74493,1450.74414,195.34616,5048.762839999999,3.0,5.0,3512.666666666658,501.0,1159.16666666666,765.166666666666,949.666666666666,137.666666666666,1.6478610179640718,324.57836999999995,64.78610179640718,324.57836999999995,324.57836999999995,1.4953408253055442,574.1825733333401,49.53408253055443,574.1825733333401,574.1825733333401,1.1026943106077116,78.57826333333401,10.26943106077117,78.57826333333401,78.57826333333401,1.5276351070551082,501.07747333333407,52.76351070551082,501.07747333333407,501.07747333333407,1.4189793704600553,57.679493333333994,41.897937046005524,57.679493333333994,57.679493333333994,1.4373020041753688,1536.0961733333415,43.73020041753688,1536.0961733333415,1536.0961733333415,20658 20678
101/280,52856,33690,126,UrbBiz,Fwy/Ramp,1128.67981,2655.87329,1594.02734,1820.80261,191.84828,7391.23133,2.0,5.0,5082.33333333332,733.0,1646.83333333333,1452.83333333333,1042.66666666666,207.0,1.5398087448840383,395.6798100000001,53.98087448840383,395.6798100000001,395.6798100000001,1.6127152859022398,1009.0399566666699,61.27152859022398,1009.0399566666699,1009.0399566666699,1.09718527475049,141.19400666667002,9.718527475049008,141.19400666667002,141.19400666667002,1.746294063299244,778.13594333334,74.6294063299244,778.13594333334,778.13594333334,0.9268032850241545,-15.151720000000012,-7.319671497584547,15.151720000000012,15.151720000000012,1.4542988122253595,2308.8979966666793,45.42988122253595,2308.8979966666793,2308.8979966666793,52856 33690
101/280,33690,52168,127,UrbBiz,Fwy/Ramp,2527.81689,6306.30078,2829.63281,4320.39844,715.41394,16699.56286,2.0,5.0,7427.666666666656,2194.33333333333,2577.16666666666,751.166666666666,1492.0,413.0,1.1519748853106504,333.4835566666702,15.197488531065051,333.4835566666702,333.4835566666702,2.446989890706855,3729.1341133333394,144.69898907068546,3729.1341133333394,3729.1341133333394,3.7669839937874454,2078.466143333334,276.69839937874457,2078.466143333334,2078.466143333334,2.8957094101876675,2828.39844,189.57094101876675,2828.39844,2828.39844,1.7322371428571428,302.41394,73.2237142857143,302.41394,302.41394,2.248291907732355,9271.896193333341,124.82919077323548,9271.896193333341,9271.896193333341,33690 52168
101/280,52143,33751,129,UrbBiz,Fwy/Ramp,4452.08887,9590.95605,4865.00928,6261.41846,1050.22705,26219.69971,2.0,5.0,18828.33333333332,2830.0,6691.66666666666,3992.33333333333,4299.0,1015.33333333333,1.5731762791519432,1622.0888699999996,57.317627915194336,1622.0888699999996,1622.0888699999996,1.433268650062268,2899.289383333341,43.32686500622681,2899.289383333341,2899.289383333341,1.2185879468982228,872.6759466666704,21.858794689822272,872.6759466666704,872.6759466666704,1.4564825447778553,1962.4184599999999,45.64825447778553,1962.4184599999999,1962.4184599999999,1.034366759684836,34.89371666667,3.436675968483597,34.89371666667,34.89371666667,1.3925661526068878,7391.36637666668,39.25661526068877,7391.36637666668,7391.36637666668,52143 33751
101/280,52153,52155,130,UrbBiz,Fwy/Ramp,4226.14795,10492.62402,4973.58984,8611.46484,1746.64136,30050.46801,2.0,5.0,18779.66666666664,3290.66666666666,6943.16666666666,2518.83333333333,5021.66666666666,1005.33333333333,1.2842832100891435,935.4812833333394,28.42832100891434,935.4812833333394,935.4812833333394,1.5112159226097617,3549.4573533333396,51.12159226097616,3549.4573533333396,3549.4573533333396,1.9745609104744286,2454.75650666667,97.45609104744287,2454.75650666667,2454.75650666667,1.714861899767676,3589.798173333341,71.48618997676759,3589.798173333341,3589.798173333341,1.7373753580901916,741.3080266666701,73.73753580901916,741.3080266666701,741.3080266666701,1.6001598187756285,11270.801343333362,60.01598187756285,11270.801343333362,11270.801343333362,52153 52155
101/280,52158,52255,131,UrbBiz,Fwy/Ramp,1726.20264,3504.79736,1388.17969,2878.80493,615.79376,10113.77838,2.0,5.0,9465.999999999993,2008.0,3176.5,1205.66666666666,2274.5,801.333333333333,0.8596626693227092,-281.79736,-14.033733067729084,281.79736,281.79736,1.1033519156304108,328.29736,10.335191563041084,328.29736,328.29736,1.1513793392314136,182.51302333334002,15.137933923141365,182.51302333334002,182.51302333334002,1.2656869333919543,604.3049299999998,26.56869333919542,604.3049299999998,604.3049299999998,0.7684614309484196,-185.539573333333,-23.153856905158037,185.539573333333,185.539573333333,1.0684321128248475,647.778380000007,6.843211282484761,647.778380000007,647.778380000007,52158 52255
101/280,52159,52116,132,Core/CBD,Fwy/Ramp,7859.15234,18529.25391,9802.22363,13754.87109,2283.29468,52228.79565,1.0,1.0,44580.333333333154,7963.0,15491.9999999999,7390.5,11374.1666666666,2360.66666666666,0.9869587266105738,-103.84766000000036,-1.3041273389426142,103.84766000000036,103.84766000000036,1.1960530538342447,3037.2539100000995,19.605305383424472,3037.2539100000995,3037.2539100000995,1.3263275326432582,2411.7236300000004,32.63275326432583,2411.7236300000004,2411.7236300000004,1.2093080304784305,2380.7044233334,20.930803047843042,2380.7044233334,2380.7044233334,0.9672245184976022,-77.37198666666018,-3.277548150239779,77.37198666666018,77.37198666666018,1.171565839570518,7648.462316666846,17.156583957051787,7648.462316666846,7648.462316666846,52159 52116
101/280,52112,52160,201,Core/CBD,Fwy/Ramp,9810.07031,21701.6582,9877.80371,16051.22559,3382.89258,60823.65039,1.0,1.0,53211.33333333321,8670.0,18434.1666666666,8627.66666666666,15422.8333333333,2056.66666666666,1.1314959988465974,1140.0703099999992,13.149599884659738,1140.0703099999992,1140.0703099999992,1.1772519253198364,3267.491533333403,17.725192531983627,3267.491533333403,3267.491533333403,1.1448986257389029,1250.1370433333395,14.48986257389028,1250.1370433333395,1250.1370433333395,1.0407442810983738,628.3922566667006,4.074428109837376,628.3922566667006,628.3922566667006,1.6448424213938464,1326.22591333334,64.48424213938465,1326.22591333334,1326.22591333334,1.1430581904230954,7612.31705666679,14.305819042309547,7612.31705666679,7612.31705666679,52112 52160
101/280,52154,52152,202,UrbBiz,Fwy/Ramp,4019.61035,8842.61035,3524.89258,6333.02441,2021.89282,24742.030510000004,2.0,5.0,22511.66666666665,4335.66666666666,7599.66666666666,2727.0,5826.33333333333,2023.0,0.9271031790574321,-316.05631666665977,-7.289682094256792,316.05631666665977,316.05631666665977,1.1635523948418802,1242.9436833333411,16.35523948418802,1242.9436833333411,1242.9436833333411,1.2925898716538322,797.8925800000002,29.25898716538321,797.8925800000002,797.8925800000002,1.0869656862520745,506.6910766666697,8.69656862520745,506.6910766666697,506.6910766666697,0.9994527039050914,-1.1071799999999712,-0.05472960949085374,1.1071799999999712,1.1071799999999712,1.0990759092322508,2230.3638433333545,9.907590923225095,2230.3638433333545,2230.3638433333545,52154 52152
101/280,52150,52113,203,UrbBiz,Fwy/Ramp,3788.43164,8766.20313,4298.74756,6675.5498,966.66888,24495.601010000002,2.0,5.0,24933.16666666666,3845.33333333333,8686.83333333333,5401.5,6397.0,602.5,0.9852024029126222,-56.90169333333006,-1.4797597087377803,56.90169333333006,56.90169333333006,1.009136792847413,79.36979666666957,0.9136792847413089,79.36979666666957,79.36979666666957,0.7958432953809127,-1102.7524400000002,-20.415670461908732,1102.7524400000002,1102.7524400000002,1.043543817414413,278.5497999999998,4.354381741441298,278.5497999999998,278.5497999999998,1.6044296763485477,364.16887999999994,60.44296763485476,364.16887999999994,364.16887999999994,0.982450457957607,-437.56565666665847,-1.7549542042393007,437.56565666665847,437.56565666665847,52150 52113
